トップリバティ,牡5,1:23.0,36.7,11,42.8,57.0
チカリータ,牝4,1:23.3,36.9,1,2.0,55.0
サダムリスペクト,牡5,1:23.4,36.3,4,14.9,57.0
オールスマイル,牝4,1:23.5,36.6,6,20.3,55.0
ビタミンエース,牡6,1:23.6,36.5,13,67.4,56.0
トウケイフクキタル,牡4,1:23.8,37.2,7,23.0,57.0
キングヴァラール,牡5,1:23.8,36.2,15,179.3,57.0
テイエムハヤブサ,牡4,1:23.9,37.0,16,238.8,57.0
ショウサングランド,牡4,1:23.9,36.4,5,16.3,57.0
ジーブレイズ,牡4,1:23.9,37.5,2,3.3,57.0
タイキレガトゥス,牡5,1:24.2,37.5,9,36.4,57.0
カノヤプレジデント,セ7,1:24.2,36.7,14,91.3,57.0
タイセイパルサー,牡4,1:24.3,37.5,3,13.3,57.0
フィールブリーズ,牡4,1:24.6,37.3,10,38.9,57.0
クワッドアーチ,牡4,1:24.7,38.1,8,24.6,57.0
キクノステラ,牡5,1:24.9,38.3,12,57.2,57.0
