レオアルティメット,牡4,1:54.1,38.7,3,5.3,57.0
タイキダイヤモンド,牡5,1:54.2,38.6,7,18.9,54.0
カラリエーヴァ,牝4,1:54.2,38.7,6,18.4,55.0
プタハ,牡4,1:54.8,39.0,11,40.7,57.0
ラボーナ,セ5,1:54.9,38.2,1,4.2,57.0
ウイングセクション,牡4,1:54.9,38.6,5,6.3,57.0
フジマサクイーン,牝5,1:55.0,39.1,15,211.2,52.0
マイネルツァイト,牡5,1:55.0,37.9,13,107.8,57.0
リンガスビンゴ,牝4,1:55.1,38.8,9,28.9,55.0
ラッキーアドバンス,牡5,1:55.4,39.2,12,72.6,57.0
ゴールドクロス,牡4,1:55.4,39.4,2,4.5,57.0
シールート,セ4,1:55.9,39.2,14,115.9,57.0
アルセナーレ,牝6,1:56.7,41.0,8,23.5,55.0
アサクサスポット,牡4,1:56.9,40.2,10,29.3,56.0
ロンギングファロー,牡4,1:57.4,40.4,4,5.9,57.0
ペイシャスター,牝4,1:57.4,40.0,16,355.4,55.0
