ハートトゥハート,牝3,1:59.5,40.0,1,1.4,54.0
チアフルローズ,牝3,2:00.1,40.7,7,29.6,54.0
ストロングヘヴン,牡3,2:00.7,40.8,11,58.2,56.0
ボーナファイディ,牝3,2:01.0,41.3,3,11.8,53.0
ノボリターン,牡3,2:01.1,40.8,9,38.2,56.0
ジャストワンルック,牡3,2:01.4,41.1,5,19.5,56.0
トウカイマーレ,牡3,2:01.5,41.8,12,58.9,56.0
シュリュッセル,牡3,2:01.8,41.5,10,41.5,53.0
コスモエトランジュ,牡3,2:01.9,42.2,8,30.9,56.0
セイウンノルン,牝3,2:02.4,41.9,14,113.3,54.0
ガルラバン,牡3,2:02.4,42.5,2,6.2,56.0
アオカチ,牝3,2:02.5,42.4,13,89.7,52.0
キャビテーション,牝3,2:02.5,43.1,4,13.8,54.0
シゲルパパラチア,牡3,2:03.5,43.8,6,27.9,56.0
ナムカーン,牝3,2:04.1,43.6,15,272.2,54.0
