カワイアラ,牝3,1:24.7,37.4,6,24.7,54.0
クリノキング,セ3,1:24.9,37.3,16,171.5,56.0
ジェミニズ,牡3,1:25.0,37.1,4,17.6,56.0
フィールドステイ,牡3,1:25.2,38.0,1,1.8,56.0
テイエムグルービー,牡3,1:25.4,38.0,5,17.8,56.0
エピューレ,牝3,1:25.5,38.7,10,51.4,54.0
メイショウクロス,牡3,1:25.5,38.2,2,4.5,53.0
センテンスプリング,牡3,1:26.0,38.2,12,63.1,56.0
アルマローラン,牡3,1:26.2,39.1,3,6.9,56.0
メイショウソリッド,牡3,1:26.5,38.6,8,34.9,56.0
アスターフィール,牡3,1:26.9,39.2,11,57.3,56.0
ラインゼウス,牡3,1:27.5,39.1,15,93.3,56.0
ビッグディッパー,牡3,1:27.8,40.9,14,68.9,56.0
マイボニー,牡3,1:28.4,40.1,7,31.5,56.0
イージスピューマ,牡3,1:28.6,39.5,9,42.0,56.0
ビターレ,牡3,1:29.6,41.8,13,66.7,56.0
