カフェプリンス,牡3,1:56.2,41.1,4,15.6,56.0
アイヅリュウコ,牡3,1:56.5,39.5,7,22.8,56.0
アペタイザー,牡3,1:56.6,41.3,3,9.8,56.0
サクラザチェンジ,牡3,1:57.2,41.5,6,22.7,56.0
サンニューヨーカー,牡3,1:57.7,40.9,9,67.1,56.0
ノワールムーティエ,牡3,1:57.7,42.5,2,3.0,56.0
フィールオーケー,牡3,1:57.7,39.9,12,198.7,55.0
パワーリンク,牡3,1:58.0,42.2,14,245.7,56.0
ヤシャジン,牡3,2:02.1,45.5,15,337.7,53.0
ショウナンランナー,牡3,2:02.7,45.4,5,21.7,56.0
タマブラックパール,牝3,2:02.8,46.2,8,32.0,54.0
フィストバンプ,牡3,2:03.4,46.6,10,95.4,56.0
アイマックス,牡3,2:05.3,47.8,16,353.0,56.0
マヤノハンパネー,牡3,2:05.6,49.0,11,184.3,55.0
