シャワークライム,牝3,1:48.9,35.1,1,2.5,54.0
キープオンゴーイン,牝3,1:49.0,36.5,3,6.4,54.0
ラヴィンジャー,牝3,1:49.3,36.5,9,49.8,52.0
カナロアガール,牝3,1:49.4,35.3,2,4.6,54.0
メイオール,牝3,1:49.7,36.8,6,9.0,54.0
マルニ,牝3,1:49.7,36.2,4,7.6,54.0
メルキュール,牝3,1:49.8,37.0,7,23.9,53.0
フラドタイド,牝3,1:49.8,36.3,8,40.1,54.0
クリムゾンスター,牝3,1:50.0,36.5,5,8.3,54.0
プリマヴェージ,牝3,1:50.1,36.8,14,210.1,54.0
ラヴィングウェイ,牝3,1:50.2,36.9,11,112.5,53.0
キラステラ,牝3,1:50.3,36.1,12,126.0,54.0
ミヤビペルラ,牝3,1:50.4,37.4,13,138.6,54.0
レコルダーレ,牝3,1:50.6,38.0,10,71.6,54.0
ベイオブレインボー,牝3,1:50.9,37.6,15,294.9,54.0
シングングレース,牝3,1:52.3,39.2,16,527.1,54.0
